,word,freq,map
0,orang,12949,
1,indonesia,12571,
2,perintah,9558,
3,sebar,9121,
4,pandemi,8920,
5,lockdown,8807,
6,positif,8542,
7,rumah,8359,
8,china,7517,cina
9,aja,7506,no
10,cegah,7440,
11,ga,7115,no
12,pasien,6817,
13,wabah,6795,
14,laku,6775,
15,warga,6724,
16,bantu,6407,
17,tangan,6315,
18,sehat,6288,
19,negara,5908,
20,masyarakat,5511,
21,gak,5495,no
22,moga,5233,
23,tinggal,5171,
24,dampak,5093,
25,amp,5081,no
26,kena,4502,
27,jokowi,4467,
28,kalo,4460,no
29,udah,4419,no
30,kerja,4376,
31,kota,4077,
32,lawan,4046,
33,nya,3897,no
34,masuk,3869,
35,dunia,3799,
36,jalan,3787,
37,nyata,3764,
38,sakit,3675,
39,jaga,3592,
40,masker,3571,
41,wuhan,3558,
42,mudik,3426,
43,sembuh,3376,
44,hadap,3296,
45,mati,3266,
46,salah,3247,
47,polri,3237,
48,rakyat,3205,
49,anak,2974,
50,tular,2932,
51,jakarta,2917,
52,medis,2844,
53,cepat,2823,
54,sih,2785,no
55,utk,2758,no
56,dr,2704,no
57,distancing,2696,
58,putus,2686,
59,tugas,2642,
60,akibat,2636,
61,ekonomi,2611,
62,dirumahaja,2598,
63,hasil,2595,
64,via,2567,
65,selamat,2527,
66,makan,2503,
67,coronavirus,2482,
68,hidup,2461,
69,takut,2440,
70,keluarga,2440,
71,berita,2438,
72,presiden,2417,
73,psbb,2367,
74,allah,2364,
75,biar,2354,no
76,buka,2341,
77,dgn,2313,no
78,data,2275,
79,wilayah,2263,
80,manusia,2260,
81,bikin,2251,no
82,tau,2245,no
83,daerah,2238,
84,social,2175,
85,kait,2170,
86,update,2126,
87,tutup,2115,
88,tenaga,2103,
89,infeksi,2048,
90,butuh,2025,
91,bijak,2002,
92,beli,1998,
93,nih,1984,no
94,pulang,1980,
95,gin,1979,no
96,langsung,1975,
97,lihat,1970,
98,tingkat,1960,
99,stay,1957,
100,tp,1956,no
101,korban,1947,
102,banget,1925,no
103,org,1924,orang
104,dokter,1922,
105,karantina,1871,
106,terima,1869,
107,aman,1863,
108,ayo,1851,no
109,lebaran,1848,
110,ri,1847,indonesia
111,viruscorona,1846,coronavirus
